"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"01155";"01.1.5.5";"Other edible animal fats";""
3;"0116";"01.1.6";"Fruit";""
4;"01161";"01.1.6.1";"Fresh or chilled fruit";""
4;"01162";"01.1.6.2";"Frozen fruit";""
4;"01163";"01.1.6.3";"Dried fruit and nuts";""
4;"01164";"01.1.6.4";"Preserved fruit and fruit-based products";""
3;"0117";"01.1.7";"Vegetables";""
4;"01171";"01.1.7.1";"Fresh or chilled vegetables other than potatoes and other tubers";""
4;"01172";"01.1.7.2";"Frozen vegetables other than potatoes and other tubers";""
4;"01173";"01.1.7.3";"Dried vegetables, other preserved or processed vegetables";""
4;"01174";"01.1.7.4";"Potatoes";""
4;"01175";"01.1.7.5";"Crisps";""
4;"01176";"01.1.7.6";"Other tubers and products of tuber vegetables";""
3;"0118";"01.1.8";"Sugar, jam, honey, chocolate and confectionery";""
4;"01181";"01.1.8.1";"Sugar";""
4;"01182";"01.1.8.2";"Jams, marmalades and honey";""
4;"01183";"01.1.8.3";"Chocolate";""
4;"01184";"01.1.8.4";"Confectionery products";""
4;"01185";"01.1.8.5";"Edible ices and ice cream";""
4;"01186";"01.1.8.6";"Artificial sugar substitutes";""
3;"0119";"01.1.9";"Food products n.e.c.";""
4;"01191";"01.1.9.1";"Sauces, condiments";""
4;"01192";"01.1.9.2";"Salt, spices and culinary herbs";""
4;"01193";"01.1.9.3";"Baby food";""
4;"01194";"01.1.9.4";"Ready-made meals";""
4;"01199";"01.1.9.9";"Other food products n.e.c.";""
2;"012";"01.2";"Non-alcoholic beverages";""
3;"0121";"01.2.1";"Coffee, tea and cocoa";""
4;"01211";"01.2.1.1";"Coffee";""
4;"01212";"01.2.1.2";"Tea";""
4;"01213";"01.2.1.3";"Cocoa and powdered chocolate";""
3;"0122";"01.2.2";"Mineral waters, soft drinks, fruit and vegetable juices";""
4;"01221";"01.2.2.1";"Mineral or spring waters";""
4;"01222";"01.2.2.2";"Soft drinks";""
4;"01223";"01.2.2.3";"Fruit and vegetable juices";""
1;"02";"02.";"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS";""
2;"021";"02.1";"Alcoholic beverages";""
3;"0211";"02.1.1";"Spirits";""
4;"02111";"02.1.1.1";"Spirits and liqueurs";""
4;"02112";"02.1.1.2";"Alcoholic soft drinks";""
3;"0212";"02.1.2";"Wine";""
4;"02121";"02.1.2.1";"Wine from grapes";""
4;"02122";"02.1.2.2";"Wine from other fruits";""
4;"02123";"02.1.2.3";"Fortified wines";""
4;"02124";"02.1.2.4";"Wine-based drinks";""
3;"0213";"02.1.3";"Beer";""
4;"02131";"02.1.3.1";"Lager beer";""
4;"02132";"02.1.3.2";"Other alcoholic beer";""
4;"02133";"02.1.3.3";"Low and non-alcoholic beer";""
4;"02134";"02.1.3.4";"Beer-based drinks";""
2;"022";"02.2";"Tobacco";""
3;"0220";"02.2.0";"Tobacco";""
4;"02201";"02.2.0.1";"Cigarettes";""
4;"02202";"02.2.0.2";"Cigars";""
4;"02203";"02.2.0.3";"Other tobacco products";""
2;"023";"02.3";"Narcotics";""
3;"0230";"02.3.0";"Narcotics";""
4;"02300";"02.3.0.0";"Narcotics";""
1;"03";"03.";"CLOTHING AND FOOTWEAR";""
2;"031";"03.1";"Clothing";""
3;"0311";"03.1.1";"Clothing materials";""
4;"03110";"03.1.1.0";"Clothing materials";""
3;"0312";"03.1.2";"Garments";""
4;"03121";"03.1.2.1";"Garments for men";""
4;"03122";"03.1.2.2";"Garments for women";""
4;"03123";"03.1.2.3";"Garments for infants (0 to 2 years) and children (3 to 13 years)";""
3;"0313";"03.1.3";"Other articles of clothing and clothing accessories";""
4;"03131";"03.1.3.1";"Other articles of clothing";""
4;"03132";"03.1.3.2";"Clothing accessories";""
3;"0314";"03.1.4";"Cleaning, repair and hire of clothing";""
4;"03141";"03.1.4.1";"Cleaning of clothing";""
4;"03142";"03.1.4.2";"Repair and hire of clothing";""
2;"032";"03.2";"Footwear";""
3;"0321";"03.2.1";"Shoes and other footwear";""
4;"03211";"03.2.1.1";"Footwear for men";""
4;"03212";"03.2.1.2";"Footwear for women";""
4;"03213";"03.2.1.3";"Footwear for infants and children";""
3;"0322";"03.2.2";"Repair and hire of footwear";""
4;"03220";"03.2.2.0";"Repair and hire of footwear";""
1;"04";"04.";"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS";""
2;"041";"04.1";"Actual rentals for housing";""
3;"0411";"04.1.1";"Actual rentals paid by tenants";""
4;"04110";"04.1.1.0";"Actual rentals paid by tenants";""
3;"0412";"04.1.2";"Other actual rentals";""
4;"04121";"04.1.2.1";"Actual rentals paid by tenants for secondary residences";""
4;"04122";"04.1.2.2";"Garage rentals and other rentals paid by tenants";""
2;"042";"04.2";"Imputed rentals for housing";""
3;"0421";"04.2.1";"Imputed rentals of owner-occupiers";""
4;"04210";"04.2.1.0";"Imputed rentals of owner-occupiers";""
3;"0422";"04.2.2";"Other imputed rentals";""
4;"04220";"04.2.2.0";"Other imputed rentals";""
2;"043";"04.3";"Maintenance and repair of the dwelling";""
3;"0431";"04.3.1";"Materials for the maintenance and repair of the dwelling";""
4;"04310";"04.3.1.0";"Materials for the maintenance and repair of the dwelling";""
3;"0432";"04.3.2";"Services for the maintenance and repair of the dwelling";""
4;"04321";"04.3.2.1";"Services of plumbers";""
4;"04322";"04.3.2.2";"Services of electricians";""
4;"04323";"04.3.2.3";"Maintenance services for heating systems";""
4;"04324";"04.3.2.4";"Services of painters";""
4;"04325";"04.3.2.5";"Services of carpenters";""
4;"04329";"04.3.2.9";"Other services for maintenance and repair of the dwelling";""
2;"044";"04.4";"Water supply and miscellaneous services relating to the dwelling";""
3;"0441";"04.4.1";"Water supply";""
4;"04410";"04.4.1.0";"Water supply";""
3;"0442";"04.4.2";"Refuse collection";""
4;"04420";"04.4.2.0";"Refuse collection";""
3;"0443";"04.4.3";"Sewage collection";""
4;"04430";"04.4.3.0";"Sewage collection";""
3;"0444";"04.4.4";"Other services relating to the dwelling n.e.c.";""
4;"04441";"04.4.4.1";"Maintenance charges in multi-occupied buildings";""
4;"04442";"04.4.4.2";"Security services";""
4;"04449";"04.4.4.9";"Other services related to dwelling";""
2;"045";"04.5";"Electricity, gas and other fuels";""
3;"0451";"04.5.1";"Electricity";""
4;"04510";"04.5.1.0";"Electricity";""
3;"0452";"04.5.2";"Gas";""
4;"04521";"04.5.2.1";"Natural gas and town gas";""
4;"04522";"04.5.2.2";"Liquefied hydrocarbons (butane, propane, etc.)";""
3;"0453";"04.5.3";"Liquid fuels";""
4;"04530";"04.5.3.0";"Liquid fuels";""
3;"0454";"04.5.4";"Solid fuels";""
4;"04541";"04.5.4.1";"Coal";""
4;"04549";"04.5.4.9";"Other solid fuels";""
3;"0455";"04.5.5";"Heat energy";""
4;"04550";"04.5.5.0";"Heat energy";""
1;"05";"05.";"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE";""
2;"051";"05.1";"Furniture and furnishings, carpets and other floor coverings";""
3;"0511";"05.1.1";"Furniture and furnishings";""
4;"05111";"05.1.1.1";"Household furniture";""
4;"05112";"05.1.1.2";"Garden furniture";""
4;"05113";"05.1.1.3";"Lighting equipment";""
4;"05119";"05.1.1.9";"Other furniture and furnishings";""
3;"0512";"05.1.2";"Carpets and other floor coverings";""
4;"05121";"05.1.2.1";"Carpets and rugs";""
4;"05122";"05.1.2.2";"Other floor coverings";""
4;"05123";"05.1.2.3";"Services of laying of fitted carpets and floor coverings";""
3;"0513";"05.1.3";"Repair of furniture, furnishings and floor coverings";""
4;"05130";"05.1.3.0";"Repair of furniture, furnishings and floor coverings";""
2;"052";"05.2";"Household textiles";""
3;"0520";"05.2.0";"Household textiles";""
4;"05201";"05.2.0.1";"Furnishing fabrics and curtains";""
4;"05202";"05.2.0.2";"Bed linen";""
4;"05203";"05.2.0.3";"Table linen and bathroom linen";""
4;"05204";"05.2.0.4";"Repair of household textiles";""
4;"05209";"05.2.0.9";"Other household textiles";""
2;"053";"05.3";"Household appliances";""
3;"0531";"05.3.1";"Major household appliances whether electric or not";""
4;"05311";"05.3.1.1";"Refrigerators, freezers and fridge-freezers";""
4;"05312";"05.3.1.2";"Clothes washing machines, clothes drying machines and dish washing machines";""
4;"05313";"05.3.1.3";"Cookers";""
4;"05314";"05.3.1.4";"Heaters, air conditioners";""
4;"05315";"05.3.1.5";"Cleaning equipment";""
4;"05319";"05.3.1.9";"Other major household appliances";""
3;"0532";"05.3.2";"Small electric household appliances";""
4;"05321";"05.3.2.1";"Food processing appliances";""
4;"05322";"05.3.2.2";"Coffee machines, tea makers and similar appliances";""
4;"05323";"05.3.2.3";"Irons";""
4;"05324";"05.3.2.4";"Toasters and grills";""
4;"05329";"05.3.2.9";"Other small electric household appliances";""
3;"0533";"05.3.3";"Repair of household appliances";""
4;"05330";"05.3.3.0";"Repair of household appliances";""
2;"054";"05.4";"Glassware, tableware and household utensils";""
3;"0540";"05.4.0";"Glassware, tableware and household utensils";""
4;"05401";"05.4.0.1";"Glassware, crystal-ware, ceramic ware and chinaware";""
4;"05402";"05.4.0.2";"Cutlery, flatware and silverware";""
4;"05403";"05.4.0.3";"Non-electric kitchen utensils and articles";""
4;"05404";"05.4.0.4";"Repair of glassware, tableware and household utensils";""
2;"055";"05.5";"Tools and equipment for house and garden";""
3;"0551";"05.5.1";"Major tools and equipment";""
4;"05511";"05.5.1.1";"Motorized major tools and equipment";""
4;"05512";"05.5.1.2";"Repair, leasing and rental of major tools and equipment";""
3;"0552";"05.5.2";"Small tools and miscellaneous accessories";""
4;"05521";"05.5.2.1";"Non-motorized small tools";""
4;"05522";"05.5.2.2";"Miscellaneous small tool accessories";""
4;"05523";"05.5.2.3";"Repair of non-motorized small tools and miscellaneous accessories";""
2;"056";"05.6";"Goods and services for routine household maintenance";""
3;"0561";"05.6.1";"Non-durable household goods";""
4;"05611";"05.6.1.1";"Cleaning and maintenance products";""
4;"05612";"05.6.1.2";"Other non-durable small household articles";""
3;"0562";"05.6.2";"Domestic services and household services";""
4;"05621";"05.6.2.1";"Domestic services by paid staff";""
4;"05622";"05.6.2.2";"Cleaning services";""
4;"05623";"05.6.2.3";"Hire of furniture and furnishings";""
4;"05629";"05.6.2.9";"Other domestic services and household services";""
1;"06";"06.";"HEALTH";""
2;"061";"06.1";"Medical products, appliances and equipment";""
3;"0611";"06.1.1";"Pharmaceutical products";""
4;"06110";"06.1.1.0";"Pharmaceutical products";""
3;"0612";"06.1.2";"Other medical products";""
4;"06121";"06.1.2.1";"Pregnancy tests and mechanical contraceptive devices";""
4;"06129";"06.1.2.9";"Other medical products n.e.c.";""
3;"0613";"06.1.3";"Therapeutic appliances and equipment";""
4;"06131";"06.1.3.1";"Corrective eye-glasses and contact lenses";""
4;"06132";"06.1.3.2";"Hearing aids";""
4;"06133";"06.1.3.3";"Repair of therapeutic appliances and equipment";""
4;"06139";"06.1.3.9";"Other therapeutic appliances and equipment";""
2;"062";"06.2";"Out-patient services";""
3;"0621";"06.2.1";"Medical services";""
4;"06211";"06.2.1.1";"General practice";""
4;"06212";"06.2.1.2";"Specialist practice";""
3;"0622";"06.2.2";"Dental services";""
4;"06220";"06.2.2.0";"Dental services";""
3;"0623";"06.2.3";"Paramedical services";""
4;"06231";"06.2.3.1";"Services of medical analysis laboratories and X-ray centres";""
4;"06232";"06.2.3.2";"Thermal-baths, corrective-gymnastic therapy, ambulance services and hire of therapeutic equipment";""
4;"06239";"06.2.3.9";"Other paramedical services";""
2;"063";"06.3";"Hospital services";""
3;"0630";"06.3.0";"Hospital services";""
4;"06300";"06.3.0.0";"Hospital services";""
1;"07";"07.";"TRANSPORT";""
2;"071";"07.1";"Purchase of vehicles";""
3;"0711";"07.1.1";"Motor cars";""
4;"07111";"07.1.1.1";"New motor cars";""
4;"07112";"07.1.1.2";"Second-hand motor cars";""
3;"0712";"07.1.2";"Motor cycles";""
4;"07120";"07.1.2.0";"Motor cycles";""
3;"0713";"07.1.3";"Bicycles";""
4;"07130";"07.1.3.0";"Bicycles";""
3;"0714";"07.1.4";"Animal drawn vehicles";""
4;"07140";"07.1.4.0";"Animal drawn vehicles";""
2;"072";"07.2";"Operation of personal transport equipment";""
3;"0721";"07.2.1";"Spare parts and accessories for personal transport equipment";""
4;"07211";"07.2.1.1";"Tyres";""
4;"07212";"07.2.1.2";"Spare parts for personal transport equipment";""
4;"07213";"07.2.1.3";"Accessories for personal transport equipment";""
3;"0722";"07.2.2";"Fuels and lubricants for personal transport equipment";""
4;"07221";"07.2.2.1";"Diesel";""
4;"07222";"07.2.2.2";"Petrol";""
4;"07223";"07.2.2.3";"Other fuels for personal transport equipment";""
4;"07224";"07.2.2.4";"Lubricants";""
3;"0723";"07.2.3";"Maintenance and repair of personal transport equipment";""
4;"07230";"07.2.3.0";"Maintenance and repair of personal transport equipment";""
3;"0724";"07.2.4";"Other services in respect of personal transport equipment";""
4;"07241";"07.2.4.1";"Hire of garages, parking spaces and personal transport equipment";""
4;"07242";"07.2.4.2";"Toll facilities and parking meters";""
4;"07243";"07.2.4.3";"Driving lessons, tests, licences and road worthiness tests";""
2;"073";"07.3";"Transport services";""
3;"0731";"07.3.1";"Passenger transport by railway";""
4;"07311";"07.3.1.1";"Passenger transport by train";""
4;"07312";"07.3.1.2";"Passenger transport by underground and tram";""
3;"0732";"07.3.2";"Passenger transport by road";""
4;"07321";"07.3.2.1";"Passenger transport by bus and coach";""
4;"07322";"07.3.2.2";"Passenger transport by taxi and hired car with driver";""
3;"0733";"07.3.3";"Passenger transport by air";""
4;"07331";"07.3.3.1";"Domestic flights";""
4;"07332";"07.3.3.2";"International flights";""
3;"0734";"07.3.4";"Passenger transport by sea and inland waterway";""
4;"07341";"07.3.4.1";"Passenger transport by sea";""
4;"07342";"07.3.4.2";"Passenger transport by inland waterway";""
3;"0735";"07.3.5";"Combined passenger transport";""
4;"07350";"07.3.5.0";"Combined passenger transport";""
3;"0736";"07.3.6";"Other purchased transport services";""
4;"07361";"07.3.6.1";"Funicular, cable-car and chair-lift transport";""
4;"07362";"07.3.6.2";"Removal and storage services";""
4;"07369";"07.3.6.9";"Other purchased transport services n.e.c.";""
1;"08";"08.";"COMMUNICATION";""
2;"081";"08.1";"Postal services";""
3;"0810";"08.1.0";"Postal services";""
4;"08101";"08.1.0.1";"Letter handling services";""
4;"08109";"08.1.0.9";"Other postal services";""
2;"082";"08.2";"Telephone and telefax equipment";""
3;"0820";"08.2.0";"Telephone and telefax equipment";""
4;"08201";"08.2.0.1";"Fixed telephone equipment";""
4;"08202";"08.2.0.2";"Mobile telephone equipment";""
4;"08203";"08.2.0.3";"Other equipment of telephone and telefax equipment";""
4;"08204";"08.2.0.4";"Repair of telephone or telefax equipment";""
2;"083";"08.3";"Telephone and telefax services";""
3;"0830";"08.3.0";"Telephone and telefax services";""
4;"08301";"08.3.0.1";"Wired telephone services";""
4;"08302";"08.3.0.2";"Wireless telephone services";""
4;"08303";"08.3.0.3";"Internet access provision services";""
4;"08304";"08.3.0.4";"Bundled telecommunication services";""
4;"08305";"08.3.0.5";"Other information transmission services";""
1;"09";"09.";"RECREATION AND CULTURE";""
2;"091";"09.1";"Audio-visual, photographic and information processing equipment";""
3;"0911";"09.1.1";"Equipment for the reception, recording and reproduction of sound and picture";""
4;"09111";"09.1.1.1";"Equipment for the reception, recording and reproduction of sound";""
4;"09112";"09.1.1.2";"Equipment for the reception, recording and reproduction of sound and vision";""
4;"09113";"09.1.1.3";"Portable sound and vision devices";""
4;"09119";"09.1.1.9";"Other equipment for the reception, recording and reproduction of sound and picture";""
3;"0912";"09.1.2";"Photographic and cinematographic equipment and optical instruments";""
4;"09121";"09.1.2.1";"Cameras";""
4;"09122";"09.1.2.2";"Accessories for photographic and cinematographic equipment";""
4;"09123";"09.1.2.3";"Optical instruments";""
3;"0913";"09.1.3";"Information processing equipment";""
4;"09131";"09.1.3.1";"Personal computers";""
4;"09132";"09.1.3.2";"Accessories for information processing equipment";""
4;"09133";"09.1.3.3";"Software";""
4;"09134";"09.1.3.4";"Calculators and other information processing equipment";""
3;"0914";"09.1.4";"Recording media";""
4;"09141";"09.1.4.1";"Pre-recorded recording media";""
4;"09142";"09.1.4.2";"Unrecorded recording media";""
4;"09149";"09.1.4.9";"Other recording media";""
3;"0915";"09.1.5";"Repair of audio-visual, photographic and information processing equipment";""
4;"09150";"09.1.5.0";"Repair of audio-visual, photographic and information processing equipment";""
2;"092";"09.2";"Other major durables for recreation and culture";""
3;"0921";"09.2.1";"Major durables for outdoor recreation";""
4;"09211";"09.2.1.1";"Camper vans, caravans and trailers";""
4;"09212";"09.2.1.2";"Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons";""
4;"09213";"09.2.1.3";"Boats, outboard motors and fitting out of boats";""
4;"09214";"09.2.1.4";"Horses, ponies and accessories";""
4;"09215";"09.2.1.5";"Major items for games and sport";""
3;"0922";"09.2.2";"Musical instruments and major durables for indoor recreation";""
4;"09221";"09.2.2.1";"Musical instruments";""
4;"09222";"09.2.2.2";"Major durables for indoor recreation";""
3;"0923";"09.2.3";"Maintenance and repair of other major durables for recreation and culture";""
4;"09230";"09.2.3.0";"Maintenance and repair of other major durables for recreation and culture";""
2;"093";"09.3";"Other recreational items and equipment, gardens and pets";""
3;"0931";"09.3.1";"Games, toys and hobbies";""
4;"09311";"09.3.1.1";"Games and hobbies";""
4;"09312";"09.3.1.2";"Toys and celebration articles";""
3;"0932";"09.3.2";"Equipment for sport, camping and open-air recreation";""
4;"09321";"09.3.2.1";"Equipment for sport";""
4;"09322";"09.3.2.2";"Equipment for camping and open-air recreation";""
4;"09323";"09.3.2.3";"Repair of equipment for sport, camping and open-air recreation";""
3;"0933";"09.3.3";"Gardens, plants and flowers";""
4;"09331";"09.3.3.1";"Garden products";""
4;"09332";"09.3.3.2";"Plants and flowers";""
3;"0934";"09.3.4";"Pets and related products";""
4;"09341";"09.3.4.1";"Purchase of pets";""
4;"09342";"09.3.4.2";"Products for pets";""
3;"0935";"09.3.5";"Veterinary and other services for pets";""
4;"09350";"09.3.5.0";"Veterinary and other services for pets";""
2;"094";"09.4";"Recreational and cultural services";""
3;"0941";"09.4.1";"Recreational and sporting services";""
4;"09411";"09.4.1.1";"Recreational and sporting services - Attendance";""
4;"09412";"09.4.1.2";"Recreational and sporting services - Participation";""
3;"0942";"09.4.2";"Cultural services";""
4;"09421";"09.4.2.1";"Cinemas, theatres, concerts";""
4;"09422";"09.4.2.2";"Museums, libraries, zoological gardens";""
4;"09423";"09.4.2.3";"Television and radio licence fees, subscriptions";""
4;"09424";"09.4.2.4";"Hire of equipment and accessories for culture";""
4;"09425";"09.4.2.5";"Photographic services";""
4;"09429";"09.4.2.9";"Other cultural services";""
3;"0943";"09.4.3";"Games of chance";""
4;"09430";"09.4.3.0";"Games of chance";""
2;"095";"09.5";"Newspapers, books and stationery";""
3;"0951";"09.5.1";"Books";""
4;"09511";"09.5.1.1";"Fiction books";""
4;"09512";"09.5.1.2";"Educational text books";""
4;"09513";"09.5.1.3";"Other non-fiction books";""
4;"09514";"09.5.1.4";"Binding services and E-book downloads";""
3;"0952";"09.5.2";"Newspapers and periodicals";""
4;"09521";"09.5.2.1";"Newspapers";""
4;"09522";"09.5.2.2";"Magazines and periodicals";""
3;"0953";"09.5.3";"Miscellaneous printed matter";""
4;"09530";"09.5.3.0";"Miscellaneous printed matter";""
3;"0954";"09.5.4";"Stationery and drawing materials";""
4;"09541";"09.5.4.1";"Paper products";""
4;"09549";"09.5.4.9";"Other stationery and drawing materials";""
2;"096";"09.6";"Package holidays";""
3;"0960";"09.6.0";"Package holidays";""
4;"09601";"09.6.0.1";"Package domestic holidays";""
4;"09602";"09.6.0.2";"Package international holidays";""
1;"10";"10.";"EDUCATION";""
2;"101";"10.1";"Pre-primary and primary education";""
3;"1010";"10.1.0";"Pre-primary and primary education";""
4;"10101";"10.1.0.1";"Pre-primary education";""
4;"10102";"10.1.0.2";"Primary education";""
2;"102";"10.2";"Secondary education";""
3;"1020";"10.2.0";"Secondary education";""
4;"10200";"10.2.0.0";"Secondary education";""
2;"103";"10.3";"Post-secondary non-tertiary education";""
3;"1030";"10.3.0";"Post-secondary non-tertiary education";""
4;"10300";"10.3.0.0";"Post-secondary non-tertiary education";""
2;"104";"10.4";"Tertiary education";""
3;"1040";"10.4.0";"Tertiary education";""
4;"10400";"10.4.0.0";"Tertiary education";""
2;"105";"10.5";"Education not definable by level";""
3;"1050";"10.5.0";"Education not definable by level";""
4;"10500";"10.5.0.0";"Education not definable by level";""
1;"11";"11.";"RESTAURANTS AND HOTELS";""
2;"111";"11.1";"Catering services";""
3;"1111";"11.1.1";"Restaurants, cafés and the like";""
4;"11111";"11.1.1.1";"Restaurants, cafés and dancing establishments";""
4;"11112";"11.1.1.2";"Fast food and take away food services";""
3;"1112";"11.1.2";"Canteens";""
4;"11120";"11.1.2.0";"Canteens";""
2;"112";"11.2";"Accommodation services";""
3;"1120";"11.2.0";"Accommodation services";""
4;"11201";"11.2.0.1";"Hotels, motels, inns and similar accommodation services";""
4;"11202";"11.2.0.2";"Holiday centres, camping sites, youth hostels and similar accommodation services";""
4;"11203";"11.2.0.3";"Accommodation services of other establishments";""
1;"12";"12.";"MISCELLANEOUS GOODS AND SERVICES";""
2;"121";"12.1";"Personal care";""
3;"1211";"12.1.1";"Hairdressing salons and personal grooming establishments";""
4;"12111";"12.1.1.1";"Hairdressing for men and children";""
4;"12112";"12.1.1.2";"Hairdressing for women";""
4;"12113";"12.1.1.3";"Personal grooming treatments";""
3;"1212";"12.1.2";"Electric appliances for personal care";""
4;"12121";"12.1.2.1";"Electric appliances for personal care";""
4;"12122";"12.1.2.2";"Repair of electric appliances for personal care";""
3;"1213";"12.1.3";"Other appliances, articles and products for personal care";""
4;"12131";"12.1.3.1";"Non-electrical appliances";""
4;"12132";"12.1.3.2";"Articles for personal hygiene and wellness, esoteric products and beauty products";""
2;"122";"12.2";"Prostitution";""
3;"1220";"12.2.0";"Prostitution";""
4;"12200";"12.2.0.0";"Prostitution";""
2;"123";"12.3";"Personal effects n.e.c.";""
3;"1231";"12.3.1";"Jewellery, clocks and watches";""
4;"12311";"12.3.1.1";"Jewellery";""
4;"12312";"12.3.1.2";"Clocks and watches";""
4;"12313";"12.3.1.3";"Repair of jewellery, clocks and watches";""
3;"1232";"12.3.2";"Other personal effects";""
4;"12321";"12.3.2.1";"Travel goods";""
4;"12322";"12.3.2.2";"Articles for babies";""
4;"12323";"12.3.2.3";"Repair of other personal effects";""
4;"12329";"12.3.2.9";"Other personal effects n.e.c.";""
2;"124";"12.4";"Social protection";""
3;"1240";"12.4.0";"Social protection";""
4;"12401";"12.4.0.1";"Child care services";""
4;"12402";"12.4.0.2";"Retirement homes for elderly persons and residences for disabled persons";""
4;"12403";"12.4.0.3";"Services to maintain people in their private homes";""
4;"12404";"12.4.0.4";"Counselling";""
2;"125";"12.5";"Insurance";""
3;"1251";"12.5.1";"Life insurance";""
4;"12510";"12.5.1.0";"Life insurance";""
3;"1252";"12.5.2";"Insurance connected with the dwelling";""
4;"12520";"12.5.2.0";"Insurance connected with the dwelling";""
3;"1253";"12.5.3";"Insurance connected with health";""
4;"12531";"12.5.3.1";"Public insurance connected with health";""
4;"12532";"12.5.3.2";"Private insurance connected with health";""
3;"1254";"12.5.4";"Insurance connected with transport";""
4;"12541";"12.5.4.1";"Motor vehicle insurance";""
4;"12542";"12.5.4.2";"Travel insurance";""
3;"1255";"12.5.5";"Other insurance";""
4;"12550";"12.5.5.0";"Other insurance";""
2;"126";"12.6";"Financial services n.e.c.";""
3;"1261";"12.6.1";"FISIM";""
4;"12610";"12.6.1.0";"FISIM";""
3;"1262";"12.6.2";"Other financial services n.e.c.";""
4;"12621";"12.6.2.1";"Charges by banks and post offices";""
4;"12622";"12.6.2.2";"Fees and service charges of brokers, investment counsellors";""
2;"127";"12.7";"Other services n.e.c.";""
3;"1270";"12.7.0";"Other services n.e.c.";""
4;"12701";"12.7.0.1";"Administrative fees";""
4;"12702";"12.7.0.2";"Legal services and accountancy";""
4;"12703";"12.7.0.3";"Funeral services";""
4;"12704";"12.7.0.4";"Other fees and services";""
