"Ebene";"EDV-Code";"Code";"Ebene Erl.";"Titel/Erläuterungstext"
4;"01115";"01.1.1.5";"002.001";"Fleischpasteten (s. 01.1.2.8)"
4;"01115";"01.1.1.5";"002.002";"Fischpasteten (s. 01.1.3.6)"
4;"01116";"01.1.1.6";"000";"Teigwaren und Couscous"
4;"01116";"01.1.1.6";"001";"Umfasst:"
4;"01116";"01.1.1.6";"001.001";"Ravioli, Cannelloni, Lasagne usw."
4;"01116";"01.1.1.6";"001.002";"Teigwaren in allen Formen"
4;"01116";"01.1.1.6";"001.003";"Couscous, einschließlich zubereiteter Speisen, die hauptsächlich auf Teigwaren oder Couscous basieren"
4;"01117";"01.1.1.7";"000";"Frühstückscerealien"
4;"01117";"01.1.1.7";"001";"Umfasst:"
4;"01117";"01.1.1.7";"002";"- Cornflakes, Haferflocken, Müsli usw."
4;"01118";"01.1.1.8";"000";"Andere Getreideerzeugnisse"
4;"01118";"01.1.1.8";"001";"Umfasst:"
4;"01118";"01.1.1.8";"001.001";"Mischungen und Teige zur Zubereitung von Backwaren"
4;"01118";"01.1.1.8";"001.002";"Andere Getreideerzeugnisse (Malz, Malzmehl, Malzextrakt, Kartoffelstärke, Tapioka, Sago und andere Stärken)"
3;"0112";"01.1.2";"000";"Fleisch, Fleischwaren"
3;"0112";"01.1.2";"001";"Das Fleisch ist nicht verzehrfertig, kann aber gesalzen, gewürzt oder ähnlich zum Braten, Grillen usw. vorbereitet sein."
3;"0112";"01.1.2";"002";"Umfasst:"
3;"0112";"01.1.2";"002.001";"Fleisch, frisch, gekühlt oder tiefgefroren von:"
3;"0112";"01.1.2";"002.001.001";"Rindern, Schweinen, Schafen und Ziegen"
3;"0112";"01.1.2";"002.001.002";"Pferden, Maultieren, Eseln, Kamelen und dergleichen"
3;"0112";"01.1.2";"002.001.003";"Geflügel (Huhn, Ente, Gans, Truthahn, Perlhuhn)"
3;"0112";"01.1.2";"002.001.004";"Hasen, Kaninchen und Wildfleisch (Antilopen, Hirsch, Eber, Fasan, Waldhuhn, Taube, Wachtel usw.)"
3;"0112";"01.1.2";"002.002";"Schlachtnebenprodukte, frisch, gekühlt oder tiefgefroren"
3;"0112";"01.1.2";"002.003";"Fleisch und Schlachtnebenprodukte (verarbeitet zu Würsten, Salami, Speck, Schinken, Pastete usw.), getrocknet, gesalzen oder geräuchert"
3;"0112";"01.1.2";"002.004";"Sonstiges konserviertes oder verarbeitetes Fleisch und Zubereitungen auf Fleischbasis (Dosenfleisch, Fleischextrakte, Fleischsäfte, Fleischpasteten usw.)"
3;"0112";"01.1.2";"003";"Umfasst auch:"
3;"0112";"01.1.2";"003.001";"Fleisch und Schlachtnebenprodukte von Meeressäugetieren (Robben, Walrosse, Wale usw.) und exotischen Tieren (Känguru, Strauß, Alligator usw.)"
3;"0112";"01.1.2";"003.002";"Lebende Tiere und lebendes Geflügel, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
3;"0112";"01.1.2";"004";"Umfasst nicht:"
3;"0112";"01.1.2";"004.001";"Frösche, Land- und Meeresschnecken (s. 01.1.3)"
3;"0112";"01.1.2";"004.002";"Schweineschmalz und andere tierische Nahrungsfette (s. 01.1.5)"
3;"0112";"01.1.2";"004.003";"Suppen und Brühen mit Fleischgehalt (s. 01.1.9)"
4;"01121";"01.1.2.1";"000";"Rind- und Kalbfleisch"
4;"01121";"01.1.2.1";"001";"Umfasst:"
4;"01121";"01.1.2.1";"001.001";"Fleisch, frisch, gekühlt oder tiefgefroren von Rindern"
4;"01121";"01.1.2.1";"001.002";"Lebende Rinder und Kälber, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01121";"01.1.2.1";"002";"Umfasst auch:"
4;"01121";"01.1.2.1";"002.001";"Faschiertes Rind- oder Kalbfleisch"
4;"01122";"01.1.2.2";"000";"Schweinefleisch"
4;"01122";"01.1.2.2";"001";"Umfasst:"
4;"01122";"01.1.2.2";"001.001";"Fleisch, frisch, gekühlt oder tiefgefroren von Schweinen"
4;"01122";"01.1.2.2";"001.002";"Lebende Schweine, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01122";"01.1.2.2";"002";"Umfasst auch:"
4;"01122";"01.1.2.2";"002.001";"Faschiertes Schweinefleisch"
4;"01123";"01.1.2.3";"000";"Lamm- und Ziegenfleisch"
4;"01123";"01.1.2.3";"001";"Umfasst:"
4;"01123";"01.1.2.3";"001.001";"Fleisch, frisch, gekühlt oder tiefgefroren von Schafen und Ziegen"
4;"01123";"01.1.2.3";"001.002";"Lebende Lämmer und Ziegen, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01123";"01.1.2.3";"002";"Umfasst auch:"
4;"01123";"01.1.2.3";"002.001";"Faschiertes Lamm- und Ziegenfleisch"
4;"01124";"01.1.2.4";"000";"Geflügelfleisch"
4;"01124";"01.1.2.4";"001";"Umfasst:"
4;"01124";"01.1.2.4";"001.001";"Fleisch, frisch, gekühlt oder tiefgefroren von Geflügel (Huhn, Ente, Gans, Truthahn, Perlhuhn usw.)"
4;"01124";"01.1.2.4";"001.002";"Lebendes Geflügel, soweit es zum Verzehr und nicht für die Tierhaltung gekauft wird"
4;"01124";"01.1.2.4";"001.003";"Faschiertes Geflügelfleisch"
4;"01125";"01.1.2.5";"000";"Anderes Fleisch, andere Fleischwaren"
4;"01125";"01.1.2.5";"001";"Umfasst:"
4;"01125";"01.1.2.5";"001.001";"Fleisch, frisch, gekühlt oder tiefgefroren von:"
4;"01125";"01.1.2.5";"001.001.001";"Pferden, Maultieren, Eseln, Kamelen und dergleichen"
4;"01125";"01.1.2.5";"001.001.002";"Hasen, Kaninchen und Wildfleisch (Antilopen, Hirsch, Eber, Fasan, Waldhuhn, Taube, Wachtel usw.)"
4;"01125";"01.1.2.5";"001.001.003";"Meeressäugetieren (Robben, Walrosse, Wale usw.) und exotischen Tieren (Känguru, Strauß, Alligator usw.)"
4;"01125";"01.1.2.5";"001.002";"Lebende Tiere, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01126";"01.1.2.6";"000";"Schlachtnebenerzeugnisse"
4;"01126";"01.1.2.6";"001";"Umfasst:"
4;"01126";"01.1.2.6";"001.001";"Schlachtnebenerzeugnisse, frisch, gekühlt, geräuchert oder tiefgefroren"
4;"01127";"01.1.2.7";"000";"Fleisch, Fleischwaren, getrocknet, gesalzen, geräuchert"
4;"01127";"01.1.2.7";"001";"Umfasst:"
4;"01127";"01.1.2.7";"001.001";"Fleisch (verarbeitet zu Würsten, Salami, Speck, Schinken usw.), getrocknet, gesalzen oder geräuchert"
4;"01128";"01.1.2.8";"000";"Andere Fleischzubereitungen"
4;"01128";"01.1.2.8";"001";"Umfasst:"
4;"01128";"01.1.2.8";"001.001";"Sonstiges konserviertes oder verarbeitetes Fleisch und Zubereitungen auf Fleischbasis (Dosenfleisch, Fleischextrakte, Fleischsäfte, Fleischpasteten usw.)"
4;"01128";"01.1.2.8";"001.002";"Mit Fleisch gefüllte Knödel und Palatschinken"
4;"01128";"01.1.2.8";"001.003";"Rohes oder zubereitetes Faschiertes, bestehend aus mehr als einer Fleischsorte"
4;"01128";"01.1.2.8";"001.004";"Pasteten aller Art, einschließlich Leberpastete"
4;"01128";"01.1.2.8";"002";"Umfasst nicht:"
4;"01128";"01.1.2.8";"002.001";"Pizza und Quiche (s. 01.1.1.5)"
3;"0113";"01.1.3";"000";"Fische, Fischwaren"
3;"0113";"01.1.3";"001";"Umfasst:"
3;"0113";"01.1.3";"001.001";"Fische, frisch, gekühlt oder tiefgefroren"
3;"0113";"01.1.3";"001.002";"Meeresfrüchte, frisch, gekühlt oder tiefgefroren (Krebstiere, Weichtiere und andere Schalentiere, Seeschnecken)"
3;"0113";"01.1.3";"001.003";"Fische und Meeresfrüchte, getrocknet, geräuchert oder gesalzen"
3;"0113";"01.1.3";"001.004";"Sonstiger konservierter oder verarbeiteter Fisch und Meeresfrüchte sowie Zubereitungen auf Fisch- und Meeresfrüchtebasis (Fisch- und Meeresfrüchtekonserven, Kaviar und anderer Rogen, Fischpasteten usw.)"
3;"0113";"01.1.3";"002";"Umfasst auch:"
3;"0113";"01.1.3";"002.001";"Landkrebse, Landschnecken und Frösche"
3;"0113";"01.1.3";"002.002";"Lebende Fische und Meeresfrüchte, soweit sie zum Verzehr und nicht als Zierfische (s. 09.3.4) gekauft werden"
3;"0113";"01.1.3";"003";"Umfasst nicht:"
3;"0113";"01.1.3";"003.001";"Reiszubereitungen mit Fisch u.a. Meeresfrüchten (s. 01.1.1)"
3;"0113";"01.1.3";"003.002";"Zubereitungen aus Teigwaren mit Fisch u.a. Meeresfrüchten (s. 01.1.1)"
3;"0113";"01.1.3";"003.003";"Suppen und Brühen mit Fisch- und Meeresfrüchtegehalt (s. 01.1.9)"
4;"01131";"01.1.3.1";"000";"Fische, frisch oder gekühlt"
4;"01131";"01.1.3.1";"001";"Umfasst:"
4;"01131";"01.1.3.1";"002";"- Fische, frisch oder gekühlt"
4;"01131";"01.1.3.1";"002.001";"Lebende Fische, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01132";"01.1.3.2";"000";"Fische, gefroren"
4;"01132";"01.1.3.2";"001";"Umfasst:"
4;"01132";"01.1.3.2";"001.001";"Fische, gefroren"
4;"01133";"01.1.3.3";"000";"Meeresfrüchte, frisch oder gekühlt"
4;"01133";"01.1.3.3";"001";"Umfasst:"
4;"01133";"01.1.3.3";"002";"- Meeresfrüchte, frisch oder gekühlt (Krebstiere, Weichtiere und andere Schalentiere, Seeschnecken)"
4;"01133";"01.1.3.3";"003";"- Lebende Meeresfrüchte, soweit sie zum Verzehr und nicht für die Tierhaltung gekauft werden"
4;"01133";"01.1.3.3";"004";"Umfasst auch:"
4;"01133";"01.1.3.3";"004.001";"Landkrebse, Landschnecken und Frösche"
4;"01134";"01.1.3.4";"000";"Meeresfrüchte, gefroren"
4;"01134";"01.1.3.4";"001";"Umfasst:"
4;"01134";"01.1.3.4";"001.001";"Meeresfrüchte, gefroren"
4;"01135";"01.1.3.5";"000";"Fische und Meeresfrüchte, getrocknet, geräuchert oder gesalzen"
4;"01135";"01.1.3.5";"001";"Umfasst:"
4;"01135";"01.1.3.5";"001.001";"Fische und Meeresfrüchte, getrocknet, geräuchert oder gesalzen"
4;"01136";"01.1.3.6";"000";"Andere konservierte oder verarbeitete Fische und Zubereitungen auf Meeresfrüchtebasis"
4;"01136";"01.1.3.6";"001";"Umfasst:"
4;"01136";"01.1.3.6";"001.001";"Sonstiger konservierter oder verarbeiteter Fisch und Meeresfrüchte sowie Zubereitungen auf Fisch- und Meeresfrüchtebasis (Fisch- und Meeresfrüchtekonserven, Kaviar und anderer Rogen, Fischpasteten, Backfisch usw.)"
4;"01136";"01.1.3.6";"001.002";"Mit Fisch gefüllte Knödel und Palatschinken"
4;"01136";"01.1.3.6";"002";"Umfasst nicht:"
4;"01136";"01.1.3.6";"002.001";"Pizza und Quiche mit Fisch- und Meeresfrüchtegehalt (s. 01.1.1.5)"
4;"01136";"01.1.3.6";"002.002";"Suppen und Brühen mit Fisch- und Meeresfrüchtegehalt (s. 01.1.9.9)"
3;"0114";"01.1.4";"000";"Molkereiprodukte und Eier"
3;"0114";"01.1.4";"001";"Umfasst:"
3;"0114";"01.1.4";"001.001";"Rohmilch; pasteurisierte oder sterilisierte Milch"
3;"0114";"01.1.4";"001.002";"Kondensmilch, evaporierte Kondensmilch oder Milchpulver"
3;"0114";"01.1.4";"001.003";"Joghurt, Kefir, Rahm, Sahne/Schlagobers; Desserts, Getränke sowie andere ähnliche Produkte auf der Grundlage von Milch"
3;"0114";"01.1.4";"001.004";"Käse und Quark/Topfen"
3;"0114";"01.1.4";"001.005";"Eier und Eiprodukte aus Vollei"
3;"0114";"01.1.4";"002";"Umfasst auch:"
3;"0114";"01.1.4";"002.001";"Milch, Rahm und Joghurt mit Zucker, Kakao, Früchten oder Geschmacksstoffen versetzt"
3;"0114";"01.1.4";"002.002";"Molkereiprodukte, die nicht auf Milch basieren, z.B. Sojamilch"
3;"0114";"01.1.4";"003";"Umfasst nicht:"
3;"0114";"01.1.4";"003.001";"Butter und Butterprodukte (s. 01.1.5)"
4;"01141";"01.1.4.1";"000";"Vollmilch"
4;"01141";"01.1.4.1";"001";"Umfasst:"
4;"01141";"01.1.4.1";"001.001";"Rohe Vollmilch"
4;"01141";"01.1.4.1";"001.002";"Pasteurisierte oder sterilisierte Vollmilch"
4;"01141";"01.1.4.1";"002";"Umfasst auch:"
4;"01141";"01.1.4.1";"002.001";"Haltbare Vollmilch"
4;"01142";"01.1.4.2";"000";"Leichtmilch"
4;"01142";"01.1.4.2";"001";"Umfasst:"
4;"01142";"01.1.4.2";"001.001";"Rohe Leichtmilch"
4;"01142";"01.1.4.2";"001.002";"Pasteurisierte oder sterilisierte Leichtmilch"
4;"01142";"01.1.4.2";"002";"Umfasst auch:"
4;"01142";"01.1.4.2";"002.001";"Haltbare Leichtmilch"
4;"01143";"01.1.4.3";"000";"Konservierte Milch"
4;"01143";"01.1.4.3";"001";"Umfasst:"
4;"01143";"01.1.4.3";"001.001";"Kondensmilch, evaporierte Kondensmilch oder Milchpulver"
4;"01144";"01.1.4.4";"000";"Joghurt"
4;"01144";"01.1.4.4";"001";"Umfasst:"
4;"01144";"01.1.4.4";"001.001";"Joghurt mit oder ohne Zucker, Kakao, Früchten oder Geschmacksstoffen versetzt"
4;"01145";"01.1.4.5";"000";"Käse und Quark/Topfen"
4;"01145";"01.1.4.5";"001";"Umfasst:"
4;"01145";"01.1.4.5";"001.001";"Hart-, Schnitt-, Blauschimmel-, Hüttenkäse, Mozzarella, Quark/Topfen"
4;"01146";"01.1.4.6";"000";"Andere Milcherzeugnisse"
4;"01146";"01.1.4.6";"001";"Umfasst:"
4;"01146";"01.1.4.6";"001.001";"Rahm, Sahne/Schlagobers; Desserts, Getränke sowie andere ähnliche Erzeugnisse auf der Grundlage von Milch"
4;"01146";"01.1.4.6";"001.002";"Molkereierzeugnisse, die nicht auf Milch basieren, z.B. Sojamilch"
4;"01146";"01.1.4.6";"002";"Umfasst nicht:"
4;"01146";"01.1.4.6";"002.001";"Butter und Butterprodukte (s. 01.1.5.1)"
4;"01146";"01.1.4.6";"002.002";"Dessertzubereitungen, die auf Soja basieren (s. 01.1.9.4)"
4;"01147";"01.1.4.7";"000";"Eier"
4;"01147";"01.1.4.7";"001";"Umfasst:"
4;"01147";"01.1.4.7";"001.001";"Eier und Eierzeugnisse aus Vollei"
3;"0115";"01.1.5";"000";"Speisefette und -öle"
3;"0115";"01.1.5";"001";"Umfasst:"
3;"0115";"01.1.5";"001.001";"Butter und Butterprodukte (Butterschmalz, halbflüssige Butter)"
3;"0115";"01.1.5";"001.002";"Margarine (einschl. Diätmargarine) und andere Speisefette pflanzlichen Ursprungs (einschl. Erdnussbutter)"
3;"0115";"01.1.5";"001.003";"Speiseöle (Olivenöl, Maiskeimöl, Sonnenblumenkernöl, Baumwollsaatöl, Sojabohnenöl, Erdnussöl, Walnussöl usw.)"
3;"0115";"01.1.5";"001.004";"Speisefette tierischen Ursprungs (Schweineschmalz usw.)"
3;"0115";"01.1.5";"002";"Umfasst nicht:"
3;"0115";"01.1.5";"002.001";"Dorsch- oder Heilbuttlebertran (s. 06.1.1)"
4;"01151";"01.1.5.1";"000";"Butter"
4;"01151";"01.1.5.1";"001";"Umfasst:"
4;"01151";"01.1.5.1";"001.001";"Butter und Buttererzeugnisse (Butterschmalz, halbflüssige Butter usw.)"
4;"01152";"01.1.5.2";"000";"Margarine und andere Speisefette pflanzlichen Ursprungs"
4;"01152";"01.1.5.2";"001";"Umfasst:"
4;"01152";"01.1.5.2";"001.001";"Margarine (einschließlich Diätmargarine) und andere Speisefette pflanzlichen Ursprungs (einschließlich Erdnussbutter)"
4;"01153";"01.1.5.3";"000";"Olivenöl"
4;"01153";"01.1.5.3";"001";"Umfasst:"
4;"01153";"01.1.5.3";"001.001";"Olivenöl"
4;"01154";"01.1.5.4";"000";"Andere Speiseöle"
4;"01154";"01.1.5.4";"001";"Umfasst:"
4;"01154";"01.1.5.4";"001.001";"Andere Speiseöle (Maiskeimöl, Sonnenblumenkernöl, Baumwollsaatöl, Sojabohnenöl, Erdnussöl, Walnussöl usw.)"
4;"01154";"01.1.5.4";"002";"Umfasst nicht:"
4;"01154";"01.1.5.4";"002.001";"Dorsch- oder Heilbuttlebertran (s. 06.1.1.0)"
4;"01155";"01.1.5.5";"000";"Andere Speisefette tierischen Ursprungs"
4;"01155";"01.1.5.5";"001";"Umfasst:"
4;"01155";"01.1.5.5";"001.001";"Speisefette tierischen Ursprungs (Schweineschmalz usw.)"
3;"0116";"01.1.6";"000";"Obst"
3;"0116";"01.1.6";"001";"Umfasst:"
3;"0116";"01.1.6";"001.001";"Obst, frisch, gekühlt oder tiefgefroren"
3;"0116";"01.1.6";"001.002";"Trockenobst, Obstschalen, Obstkerne, Nüsse und essbare Samen"
3;"0116";"01.1.6";"001.003";"Obstkonserven und Produkte, die auf Obst basieren"
3;"0116";"01.1.6";"002";"Umfasst auch:"
3;"0116";"01.1.6";"002.001";"Edelkastanien"
3;"0116";"01.1.6";"003";"Umfasst nicht:"
3;"0116";"01.1.6";"003.001";"Fruchtgemüse wie Auberginen, Gurken und Tomaten (s. 01.1.7)"
3;"0116";"01.1.6";"003.002";"Marmeladen, Konfitüren, Kompotte, Gelees, Fruchtmuse und -pasten (s. 01.1.8)"
3;"0116";"01.1.6";"003.003";"In Zucker konservierte Pflanzenteile (s. 01.1.8)"
3;"0116";"01.1.6";"003.004";"Fruchtsäfte und Sirupe (s. 01.2.2)"
4;"01161";"01.1.6.1";"000";"Obst, frisch oder gekühlt"
4;"01161";"01.1.6.1";"001";"Umfasst:"
4;"01161";"01.1.6.1";"001.001";"Melonen und Wassermelonen, Beeren"
4;"01162";"01.1.6.2";"000";"Obst, tiefgefroren"
4;"01162";"01.1.6.2";"001";"Umfasst:"
4;"01162";"01.1.6.2";"001.001";"Obst, tiefgefroren"
4;"01162";"01.1.6.2";"001.002";"Beeren, tiefgefroren"
4;"01163";"01.1.6.3";"000";"Trockenobst und Nüsse"
4;"01163";"01.1.6.3";"001";"Umfasst:"
4;"01163";"01.1.6.3";"001.001";"Trockenobst, Obstschalen, Obstkerne"
4;"01163";"01.1.6.3";"001.002";"Nüsse und essbare Samen"
4;"01163";"01.1.6.3";"001.003";"Trockenbeeren"
4;"01164";"01.1.6.4";"000";"Haltbar gemachtes Obst und Erzeugnisse, die auf Obst basieren"
4;"01164";"01.1.6.4";"001";"Umfasst:"
4;"01164";"01.1.6.4";"001.001";"Haltbar gemachtes Obst und Erzeugnisse, die auf Obst basieren"
4;"01164";"01.1.6.4";"001.002";"Diätzubereitungen und kulinarische Zutaten, die ausschließlich auf Obst basieren"
4;"01164";"01.1.6.4";"001.003";"Obstkonserven"
3;"0117";"01.1.7";"000";"Gemüse (einschl. Kartoffeln u.a. Knollengewächse)"
3;"0117";"01.1.7";"001";"Umfasst:"
3;"0117";"01.1.7";"001.001";"Blatt- und Stielgemüse (Spargel, Brokkoli, Blumenkohl/Karfiol, Endiviensalat, Fenchel, Spinat usw.), Fruchtgemüse (Auberginen, Gurken, Zucchini, Grüner Paprika, Kürbisse, Paprika, Tomaten usw.) und Wurzelgemüse (Rote Rüben, Karotten, Zwiebel, Pastinakwurzel, Radieschen, Rettich, Steckrüben (Turnips) usw.), frisch, gekühlt oder tiefgefroren"
3;"0117";"01.1.7";"001.002";"Kartoffeln und anderes Knollengemüse (Maniok, Pfeilwurz (Arrowroot), Süßkartoffeln usw.), frisch oder gekühlt"
3;"0117";"01.1.7";"001.003";"Sauerkraut und sonstiges konserviertes und verarbeitetes Gemüse sowie Produkte auf Gemüsebasis"
3;"0117";"01.1.7";"001.004";"Erzeugnisse aus Knollengemüse (feines und grobes Mehl, Flocken, Püree, Kartoffelchips und geröstete Kartoffelscheiben) einschließlich gefrorene Zubereitungen, z.B. geraspelte Kartoffeln"
3;"0117";"01.1.7";"002";"Umfasst auch:"
3;"0117";"01.1.7";"002.001";"Oliven, Knoblauch, Hülsenfrüchte, Zuckermais"
3;"0117";"01.1.7";"002.002";"Meeresfenchel und andere essbare Meerespflanzen"
3;"0117";"01.1.7";"002.003";"Speisepilze"
3;"0117";"01.1.7";"003";"Umfasst nicht:"
3;"0117";"01.1.7";"003.001";"Kartoffelstärke, Tapioka, Sago und andere Stärken (s. 01.1.1)"
3;"0117";"01.1.7";"003.002";"Suppen, Brühen mit Gemüsegehalt (s. 01.1.9)"
3;"0117";"01.1.7";"003.003";"Küchenkräuter (Petersilie, Rosmarin, Thymian usw.) und Gewürze (Pfeffer, Nelkenpfeffer, Ingwer usw.) (s. 01.1.9)"
3;"0117";"01.1.7";"003.004";"Gemüsesäfte (s. 01.2.2)"
4;"01171";"01.1.7.1";"000";"Gemüse (ohne Kartoffeln u.a. Knollengewächse), frisch oder gekühlt"
4;"01171";"01.1.7.1";"001";"Umfasst:"
4;"01171";"01.1.7.1";"001.001";"Blatt- und Stielgemüse (Spargel, Brokkoli, Blumenkohl/Karfiol, Endiviensalat, Fenchel, Spinat usw.), Fruchtgemüse (Auberginen, Gurken, Zucchini, Grüner Paprika, Kürbisse, Paprika, Tomaten usw.) und Wurzelgemüse (Rote Rüben, Karotten, Zwiebel, Pastinakwurzel, Radieschen, Rettich, Steckrüben (Turnips) usw.), frisch oder gekühlt"
4;"01172";"01.1.7.2";"000";"Gemüse (ohne Kartoffeln u.a. Knollengewächse), tiefgefroren"
4;"01172";"01.1.7.2";"001";"Umfasst:"
4;"01172";"01.1.7.2";"001.001";"Blatt- und Stielgemüse (Spargel, Brokkoli, Karfiol, Endiviensalat, Fenchel, Spinat usw.), Fruchtgemüse (Auberginen, Gurken, Zucchini, Grüner Paprika, Kürbisse, Paprika, Tomaten usw.) und Wurzelgemüse (Rote Rüben, Karotten, Zwiebel, Pastinakwurzel, Radieschen, Rettich, Steckrüben (Turnips) usw.), tiefgefroren"
4;"01173";"01.1.7.3";"000";"Trockengemüse, anderes konserviertes und verarbeitetes Gemüse"
4;"01173";"01.1.7.3";"001";"Umfasst:"
4;"01173";"01.1.7.3";"001.001";"Erzeugnisse auf Gemüsebasis, Diätzubereitungen und kulinarische Zutaten, die ausschließlich auf Gemüse basieren"
4;"01173";"01.1.7.3";"001.002";"Gemüsemischungen"
4;"01173";"01.1.7.3";"001.003";"Gemüsekonserven"
4;"01173";"01.1.7.3";"001.004";"Hülsenfrüchte"
4;"01174";"01.1.7.4";"000";"Kartoffeln"
4;"01174";"01.1.7.4";"001";"Umfasst:"
4;"01174";"01.1.7.4";"001.001";"Kartoffeln, frisch, gekühlt oder konserviert"
4;"01174";"01.1.7.4";"001.002";"Gefrorene Zubereitungen aus Kartoffeln, z.B. Pommes frites"
4;"01174";"01.1.7.4";"002";"Umfasst nicht:"
4;"01174";"01.1.7.4";"002.001";"Kartoffelstärke (s. 01.1.1.8)"
4;"01174";"01.1.7.4";"002.002";"Süßkartoffeln (s. 01.1.7.6)"
4;"01175";"01.1.7.5";"000";"Kartoffelchips"
4;"01175";"01.1.7.5";"001";"Umfasst:"
4;"01175";"01.1.7.5";"001.001";"Kartoffelchips (gesalzen oder mit verschiedenen Geschmacksstoffen und Zutaten versetzt, einschließlich Würzmittel, Kräuter, Gewürzen, Käse und künstlichen Zusatzstoffen)"
